product_code,product_name,product_group,brand,unit,vendor,cost_thb,price_private,price_government,price_dealer,price_last,gp_private,gp_dealer,gp_last,price_source,catalog_list_price,catalog_net_price,promo_catalog,promo_legacy,promo_min_qty,promo_free_qty,catalog_page,source_sheet,approval_required_below,status,notes
D-AD001-01,DX.BOND V Light Cure Adhesive - Total etch,,Sino-Dentex,กล่อง,"Sino-Dentex Co., Ltd.",168.0,650.0,720.0,460.0,280.0,0.7415,0.6348,0.4,PRICELIST_LEGACY,,,,3 Free 1,3.0,1.0,,Clinical product,price_last,OK,
D-AD004-01,DX.Etch 37 Dental Etching Gel - 5ml,,Sino-Dentex,หลอด,"Sino-Dentex Co., Ltd.",45.5,120.0,130.0,90.0,80.0,0.6208,0.4944,0.4313,PRICELIST_LEGACY,,,,10 Free 2,10.0,2.0,,Clinical product,price_last,OK,
H-AD001-01,HugeBond Universal (5ml),,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,525.0,1750.0,1900.0,1300.0,880.0,0.7000000000000001,0.5962000000000001,0.40340000000000004,CATALOG_LIST,1750.0,1312.5,BUY 3 FREE 1,3 Free 1,3.0,1.0,p.36,Clinical product,price_last,OK,
H-AD002-01,P-Etchant phosphoric acid etching gel (3ml),,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,122.5,350.0,390.0,250.0,210.0,0.65,0.51,0.4167,CATALOG_LIST,350.0,250.0,BUY 5 FREE 2 — แคตตาล็อกระบุ 350 (price list มี 2 ราคา 350/850),1 Free 1,5.0,2.0,p.36,Clinical product,price_last,OK,
H-AD003-01,HF-Etchant hydrofluoric acid etching gel (1.2ml),,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,122.5,350.0,390.0,250.0,210.0,0.65,0.51,0.4167,CATALOG_LIST,350.0,250.0,BUY 5 FREE 2 — แคตตาล็อกระบุ 350 (price list เดิม 550),5 Free 2,5.0,2.0,p.37,Clinical product,price_last,OK,
H-CS006-01,TrusFIL Universal Composite Restorative - A1,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),1 Free 1,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-02,TrusFIL Universal Composite Restorative - A2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-03,TrusFIL Universal Composite Restorative - A3,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-04,TrusFIL Universal Composite Restorative - A3.5,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-05,TrusFIL Universal Composite Restorative - A5,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-06,TrusFIL Universal Composite Restorative - A4,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-07,TrusFIL Universal Composite Restorative - B1,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-08,TrusFIL Universal Composite Restorative - B2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-09,TrusFIL Universal Composite Restorative - B3,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-10,TrusFIL Universal Composite Restorative - C1,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-11,TrusFIL Universal Composite Restorative - C2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-12,TrusFIL Universal Composite Restorative - EA2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS006-13,TrusFIL Universal Composite Restorative - OA2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,161.0,850.0,940.0,600.0,270.0,0.8106,0.7317,0.4037,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1 (TrusFIL ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-01,TrusFIL-Flow Flowable Composite Restorative - A1,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),1 Free 1,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-02,TrusFIL-Flow Flowable Composite Restorative - A2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-03,TrusFIL-Flow Flowable Composite Restorative - A3,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-04,TrusFIL-Flow Flowable Composite Restorative - B1,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-05,TrusFIL-Flow Flowable Composite Restorative - B2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-06,TrusFIL-Flow Flowable Composite Restorative - C1,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-07,TrusFIL-Flow Flowable Composite Restorative - C2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS007-08,TrusFIL-Flow Flowable Composite Restorative - OA2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,140.0,800.0,880.0,560.0,240.0,0.8250000000000001,0.75,0.4167,CATALOG_LIST,800.0,400.0,BUY 1 FREE 1 (TrusFIL-Flow ทุกเฉด),,1.0,1.0,p.36,Clinical product,price_last,OK,
H-CS008-01,Proseal F,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,192.5,850.0,940.0,600.0,330.0,0.7735000000000001,0.6792,0.4167,CATALOG_LIST,850.0,425.0,BUY 1 FREE 1,1 Free 1,1.0,1.0,p.36,Clinical product,price_last,OK,
H-GI009-01,Luting I (Standard) 30g powder+25g liquid,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,483.0,2750.0,3000.0,2000.0,810.0,0.8244,0.7585000000000001,0.4037,CATALOG_LIST,2750.0,1375.0,1 ฟรี 1,1 Free 1,1.0,1.0,p.38,Clinical product,price_last,OK,
H-GI010-01,Filling I (Standard) 15g powder+12g liquid -A2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,315.0,1950.0,2100.0,1400.0,530.0,0.8385,0.775,0.4057,PRICELIST_LEGACY,,,,,,,,Clinical product,price_last,OK,
H-GI010-02,Filling I (Standard) 15g powder+12g liquid -A3,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,700.0,1950.0,2100.0,1400.0,1200.0,0.641,0.5,0.4167,PRICELIST_LEGACY,,,,,,,,Clinical product,price_last,OK,
H-GI011-01,Luting II (Standard) 30g powder+25g liquid -A3,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,504.0,1625.0,1800.0,1200.0,840.0,0.6898000000000001,0.58,0.4,PRICELIST_LEGACY,,,,,,,,Clinical product,price_last,OK,
H-GI011-02,Luting II (Standard) 30g powder+25g liquid -A3.5,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,504.0,1625.0,1800.0,1200.0,840.0,0.6898000000000001,0.58,0.4,PRICELIST_LEGACY,,,,,,,,Clinical product,price_last,OK,
H-GI012-01,Lufill HS 30g powder+25g liquid - A2,,VinciSmile,กล่อง,Shandong Huge Dental Material Corporaion,504.0,3250.0,3600.0,2300.0,840.0,0.8449000000000001,0.7809,0.4,CATALOG_LIST,3250.0,1625.0,1 ฟรี 1 (Lufill HS),,1.0,1.0,p.38,Clinical product,price_last,OK,
